Application No.,First Choice Program
2026-01176,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-01528,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-01540,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-01662,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-01731,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-02027,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-02103,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-02196,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-02290,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-02769,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-02847,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-02904,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-02961,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-03086,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-03411,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-03993,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-04070,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-04407,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-04569,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-04674,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-04684,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-04685,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-04751,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-04819,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-04847,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-05202,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-05429,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-05714,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-05924,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-05941,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-05992,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-06066,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-06090,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-06332,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-06581,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-06862,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-07126,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-07244,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-07390,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-07910,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-08020,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-08328,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-08409,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-08960,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-08961,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-09180,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-09222,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-09445,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-10063,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-10434,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING
2026-00033,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-00078,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-00170,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-00253,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-00425,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-00442,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-00475,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-00487,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-00564,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-00685,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-00771,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-00839,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-00884,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-00922,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-01008,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-01040,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-01121,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-01147,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-01160,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-01188,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-01506,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-01538,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-01647,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-01659,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-01676,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-01743,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-01811,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-01874,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-01978,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-02160,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-02598,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-02645,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-02850,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-02860,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-02943,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-02976,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-03022,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-03052,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-03227,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-03671,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-03824,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-03848,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-03952,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-03961,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-04271,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-04295,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-04515,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-04727,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-04738,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-04767,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-04948,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-04956,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-05069,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-05070,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-05236,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-05261,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-05566,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-05602,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-05732,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-05846,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-06022,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-06080,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-06486,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-06626,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-06703,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-07118,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-07273,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-07300,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-07307,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-07395,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-07633,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-07871,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-07997,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-08102,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-08144,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-08345,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-08499,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-08595,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-08744,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-09220,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-09329,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-09398,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-09506,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-09508,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-09666,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-09795,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-09805,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-10084,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-10465,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-10737,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
2026-06097,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN APPAREL AND FASHION TECHNOLOGY
2026-07439,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN APPAREL AND FASHION TECHNOLOGY
2026-08160,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN APPAREL AND FASHION TECHNOLOGY
2026-06132,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN APPAREL AND FASHION TECHNOLOGY
2026-05019,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN APPAREL AND FASHION TECHNOLOGY
2026-01453,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN APPAREL AND FASHION TECHNOLOGY
2026-01965,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN APPAREL AND FASHION TECHNOLOGY
2026-03245,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN APPAREL AND FASHION TECHNOLOGY
2026-00912,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN APPAREL AND FASHION TECHNOLOGY
2026-02596,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN APPAREL AND FASHION TECHNOLOGY
2026-09963,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN APPAREL AND FASHION TECHNOLOGY
2026-06574,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN APPAREL AND FASHION TECHNOLOGY
2026-06737,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN APPAREL AND FASHION TECHNOLOGY
2026-06824,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN APPAREL AND FASHION TECHNOLOGY
2026-06718,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN APPAREL AND FASHION TECHNOLOGY
2026-00377,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN AUTOMOTIVE TECHNOLOGY
2026-00735,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN AUTOMOTIVE TECHNOLOGY
2026-01264,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN AUTOMOTIVE TECHNOLOGY
2026-03338,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN AUTOMOTIVE TECHNOLOGY
2026-03900,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN AUTOMOTIVE TECHNOLOGY
2026-05130,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN AUTOMOTIVE TECHNOLOGY
2026-05181,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN AUTOMOTIVE TECHNOLOGY
2026-07795,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN AUTOMOTIVE TECHNOLOGY
2026-10092,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN AUTOMOTIVE TECHNOLOGY
2026-10319,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN AUTOMOTIVE TECHNOLOGY
2026-10490,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN AUTOMOTIVE TECHNOLOGY
2026-10503,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN AUTOMOTIVE TECHNOLOGY
2026-00205,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-00232,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-01087,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-01098,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-01434,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-02281,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-02520,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-02681,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-02896,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-03220,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-03288,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-03563,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-03676,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-03954,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-04209,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-04521,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-05091,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-06518,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-06545,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-06873,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-07103,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-07796,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-08126,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-08227,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN COMPUTER TECHNOLOGY
2026-00066,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN CULINARY TECHNOLOGY
2026-00597,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN CULINARY TECHNOLOGY
2026-01483,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN CULINARY TECHNOLOGY
2026-02074,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN CULINARY TECHNOLOGY
2026-02274,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN CULINARY TECHNOLOGY
2026-02740,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN CULINARY TECHNOLOGY
2026-03137,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN CULINARY TECHNOLOGY
2026-03866,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN CULINARY TECHNOLOGY
2026-04058,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN CULINARY TECHNOLOGY
2026-04664,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN CULINARY TECHNOLOGY
2026-04666,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN CULINARY TECHNOLOGY
2026-04667,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN CULINARY TECHNOLOGY
2026-06181,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN CULINARY TECHNOLOGY
2026-10721,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN CULINARY TECHNOLOGY
2026-02761,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN ELECTRICAL TECHNOLOGY
2026-05384,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN ELECTRICAL TECHNOLOGY
2026-07057,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN ELECTRICAL TECHNOLOGY
2026-07678,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN ELECTRICAL TECHNOLOGY
2026-10762,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN ELECTRICAL TECHNOLOGY
2026-01546,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN ELECTRONICS TECHNOLOGY
2026-04524,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN ELECTRONICS TECHNOLOGY
2026-04848,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN ELECTRONICS TECHNOLOGY
2026-02169,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN MECHANICAL TECHNOLOGY
2026-07782,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN MECHANICAL TECHNOLOGY
2026-10594,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN MECHANICAL TECHNOLOGY
2026-00984,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN PRINT MEDIA TECHNOLOGY
2026-01971,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN PRINT MEDIA TECHNOLOGY
2026-02788,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN PRINT MEDIA TECHNOLOGY
2026-02795,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN PRINT MEDIA TECHNOLOGY
2026-09314,BACHELOR OF INDUSTRIAL TECHNOLOGY MAJOR IN PRINT MEDIA TECHNOLOGY
2026-00213,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-00457,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-00843,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-01183,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-01215,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-01270,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-01550,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-01592,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-01694,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-01714,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-01727,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-01858,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-01938,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-02293,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-02418,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-02503,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-02775,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-02930,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-03034,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-03343,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-03418,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-03446,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-03477,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-03518,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-03606,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-04013,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-04992,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-05409,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-05520,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-05735,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-05816,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-05936,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-06291,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-06410,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-06509,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-07926,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-08132,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-08280,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-08335,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-09086,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-09112,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-09477,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-09498,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-09528,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-10007,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-10016,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-10072,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-10078,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-10122,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-10620,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-00699,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-01603,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-01679,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-02214,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-02576,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-02855,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-02965,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-03084,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-03207,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-03491,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-03725,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-04205,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-04279,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-04411,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-05194,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-05469,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-05611,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-05622,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-05963,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-06821,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-06859,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-06899,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-07626,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-08281,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-08300,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-08411,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-08557,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-09591,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-10362,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-10464,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-10511,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-00198,BACHELOR OF ELEMENTARY EDUCATION
2026-00482,BACHELOR OF ELEMENTARY EDUCATION
2026-00490,BACHELOR OF ELEMENTARY EDUCATION
2026-00798,BACHELOR OF ELEMENTARY EDUCATION
2026-01065,BACHELOR OF ELEMENTARY EDUCATION
2026-01255,BACHELOR OF ELEMENTARY EDUCATION
2026-01819,BACHELOR OF ELEMENTARY EDUCATION
2026-01923,BACHELOR OF ELEMENTARY EDUCATION
2026-02045,BACHELOR OF ELEMENTARY EDUCATION
2026-02250,BACHELOR OF ELEMENTARY EDUCATION
2026-02970,BACHELOR OF ELEMENTARY EDUCATION
2026-03362,BACHELOR OF ELEMENTARY EDUCATION
2026-03415,BACHELOR OF ELEMENTARY EDUCATION
2026-03681,BACHELOR OF ELEMENTARY EDUCATION
2026-04023,BACHELOR OF ELEMENTARY EDUCATION
2026-04069,BACHELOR OF ELEMENTARY EDUCATION
2026-04304,BACHELOR OF ELEMENTARY EDUCATION
2026-04329,BACHELOR OF ELEMENTARY EDUCATION
2026-06052,BACHELOR OF ELEMENTARY EDUCATION
2026-07457,BACHELOR OF ELEMENTARY EDUCATION
2026-07540,BACHELOR OF ELEMENTARY EDUCATION
2026-08063,BACHELOR OF ELEMENTARY EDUCATION
2026-08501,BACHELOR OF ELEMENTARY EDUCATION
2026-08587,BACHELOR OF ELEMENTARY EDUCATION
2026-08762,BACHELOR OF ELEMENTARY EDUCATION
2026-09436,BACHELOR OF ELEMENTARY EDUCATION
2026-09804,BACHELOR OF ELEMENTARY EDUCATION
2026-09813,BACHELOR OF ELEMENTARY EDUCATION
2026-10276,BACHELOR OF ELEMENTARY EDUCATION
2026-10763,BACHELOR OF ELEMENTARY EDUCATION
2026-10778,BACHELOR OF ELEMENTARY EDUCATION
2026-10895,BACHELOR OF ELEMENTARY EDUCATION
2026-00712,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-02100,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-02298,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-03346,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-03378,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-03432,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-03634,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
